person_id,person_type,activity_id,context,role,years_involved,recognition_level
A26-108183,Applicant,ACT-09,High School,Officer,3,School
A26-108183,Applicant,ACT-12,High School,Captain,1,Regional
A26-108183,Applicant,ACT-01,High School,Officer,4,None
A26-108183,Applicant,ACT-15,High School,Member,1,School
A26-100496,Applicant,ACT-11,High School,Officer,2,None
A26-100496,Applicant,ACT-23,High School,Officer,4,None
A26-100496,Applicant,ACT-12,High School,Officer,3,School
A26-100496,Applicant,ACT-20,High School,Captain,2,Regional
A26-105456,Applicant,ACT-06,High School,Member,3,None
A26-105456,Applicant,ACT-15,High School,Captain,2,None
A26-105456,Applicant,ACT-01,High School,Member,4,School
A26-105456,Applicant,ACT-29,High School,Member,1,None
A26-105456,Applicant,ACT-09,High School,Member,3,None
A26-105456,Applicant,ACT-12,High School,Officer,1,None
A26-101064,Applicant,ACT-12,High School,Member,1,Regional
A26-101064,Applicant,ACT-06,High School,Member,2,None
A26-101064,Applicant,ACT-05,High School,Founder,1,Regional
A26-101064,Applicant,ACT-09,High School,Officer,1,State
A26-101064,Applicant,ACT-19,High School,Officer,4,National
A26-101758,Applicant,ACT-05,High School,Member,4,None
A26-101758,Applicant,ACT-23,High School,Captain,2,State
A26-101758,Applicant,ACT-08,High School,Member,1,None
A26-101758,Applicant,ACT-12,High School,Member,3,None
A26-108318,Applicant,ACT-12,High School,Founder,3,School
A26-108318,Applicant,ACT-06,High School,Officer,4,School
A26-108318,Applicant,ACT-15,High School,Member,3,School
A26-108318,Applicant,ACT-18,High School,President,2,School
A26-108318,Applicant,ACT-17,High School,Member,2,State
A26-102958,Applicant,ACT-08,High School,Member,2,Regional
A26-102958,Applicant,ACT-15,High School,Member,4,School
A26-102958,Applicant,ACT-12,High School,Officer,3,State
A26-102958,Applicant,ACT-38,High School,Captain,3,None
A26-103682,Applicant,ACT-12,High School,President,3,None
A26-103682,Applicant,ACT-09,High School,Member,2,School
A26-103682,Applicant,ACT-06,High School,Member,1,State
A26-104700,Applicant,ACT-21,High School,Officer,4,None
A26-104700,Applicant,ACT-12,High School,Member,4,School
A26-104700,Applicant,ACT-19,High School,Member,3,School
A26-104700,Applicant,ACT-03,High School,Officer,1,None
A26-104700,Applicant,ACT-23,High School,Officer,1,None
A26-107163,Applicant,ACT-12,High School,Member,3,Regional
A26-107163,Applicant,ACT-05,High School,Member,4,Regional
A26-107163,Applicant,ACT-22,High School,Member,2,School
A26-107163,Applicant,ACT-06,High School,Member,2,None
A26-103190,Applicant,ACT-03,High School,Member,4,State
A26-103190,Applicant,ACT-04,High School,Officer,1,School
A26-103190,Applicant,ACT-15,High School,Member,1,Regional
A26-103190,Applicant,ACT-17,High School,Member,1,Regional
A26-100268,Applicant,ACT-16,High School,Officer,3,School
A26-100268,Applicant,ACT-21,High School,Officer,2,None
A26-100268,Applicant,ACT-25,High School,Member,4,None
A26-100268,Applicant,ACT-08,High School,Member,3,Regional
A26-100268,Applicant,ACT-23,High School,President,3,None
A26-105117,Applicant,ACT-13,High School,Member,1,None
A26-105117,Applicant,ACT-03,High School,Captain,1,School
A26-105117,Applicant,ACT-23,High School,Officer,2,State
A26-105117,Applicant,ACT-01,High School,Member,4,None
A26-105117,Applicant,ACT-06,High School,Member,1,Regional
A26-102356,Applicant,ACT-27,High School,Captain,3,School
A26-102356,Applicant,ACT-03,High School,Member,1,National
A26-102356,Applicant,ACT-16,High School,Captain,1,Regional
A26-106255,Applicant,ACT-22,High School,Member,3,School
A26-106255,Applicant,ACT-15,High School,Member,1,None
A26-106255,Applicant,ACT-06,High School,Member,1,Regional
A26-106255,Applicant,ACT-12,High School,Officer,4,School
A26-106255,Applicant,ACT-16,High School,Member,2,State
A26-102652,Applicant,ACT-05,High School,Member,3,Regional
A26-102652,Applicant,ACT-13,High School,Officer,3,State
A26-102652,Applicant,ACT-23,High School,Founder,4,School
A26-105157,Applicant,ACT-05,High School,Officer,4,None
A26-105157,Applicant,ACT-21,High School,Member,3,Regional
A26-105157,Applicant,ACT-12,High School,Member,1,None
A26-103923,Applicant,ACT-11,High School,Member,1,None
A26-103923,Applicant,ACT-01,High School,Member,3,None
A26-103923,Applicant,ACT-12,High School,Member,1,None
A26-103923,Applicant,ACT-15,High School,Member,2,Regional
A26-101404,Applicant,ACT-01,High School,Member,4,None
A26-101404,Applicant,ACT-12,High School,Member,3,School
A26-101404,Applicant,ACT-24,High School,Member,3,School
A26-101404,Applicant,ACT-13,High School,Founder,2,School
A26-101404,Applicant,ACT-06,High School,Captain,3,None
A26-101404,Applicant,ACT-09,High School,Member,3,None
A26-105593,Applicant,ACT-24,High School,Officer,1,National
A26-105593,Applicant,ACT-11,High School,Member,1,None
A26-105593,Applicant,ACT-16,High School,Member,1,School
A26-103907,Applicant,ACT-12,High School,Member,2,None
A26-103907,Applicant,ACT-29,High School,Member,2,Regional
A26-103907,Applicant,ACT-06,High School,Member,1,School
A26-103907,Applicant,ACT-02,High School,Member,3,School
A26-103907,Applicant,ACT-31,High School,Member,1,None
A26-107686,Applicant,ACT-13,High School,Member,3,Regional
A26-107686,Applicant,ACT-12,High School,Member,4,None
A26-107686,Applicant,ACT-02,High School,Member,1,None
A26-107686,Applicant,ACT-23,High School,Member,4,None
A26-106304,Applicant,ACT-12,High School,Officer,2,Regional
A26-106304,Applicant,ACT-15,High School,Officer,2,School
A26-106304,Applicant,ACT-21,High School,Member,2,State
A26-106304,Applicant,ACT-06,High School,Member,1,School
A26-106304,Applicant,ACT-22,High School,Member,4,None
A26-106304,Applicant,ACT-45,High School,Member,4,School
A26-101164,Applicant,ACT-12,High School,Member,3,School
A26-101164,Applicant,ACT-23,High School,Officer,3,None
A26-101164,Applicant,ACT-07,High School,Member,1,Regional
A26-101164,Applicant,ACT-05,High School,Member,2,Regional
A26-103330,Applicant,ACT-11,High School,Member,4,None
A26-103330,Applicant,ACT-12,High School,Member,2,Regional
A26-103330,Applicant,ACT-21,High School,Officer,2,Regional
A26-103330,Applicant,ACT-19,High School,Member,4,Regional
A26-102377,Applicant,ACT-09,High School,Officer,1,None
A26-102377,Applicant,ACT-01,High School,Member,3,None
A26-102377,Applicant,ACT-13,High School,Member,1,Regional
A26-102377,Applicant,ACT-25,High School,Member,2,School
A26-102377,Applicant,ACT-06,High School,Member,2,None
A26-104374,Applicant,ACT-23,High School,Member,1,Regional
A26-104374,Applicant,ACT-15,High School,Member,4,Regional
A26-104374,Applicant,ACT-12,High School,Member,4,State
A26-104374,Applicant,ACT-09,High School,Member,2,None
A26-100879,Applicant,ACT-01,High School,Member,3,None
A26-100879,Applicant,ACT-23,High School,Member,1,None
A26-100879,Applicant,ACT-08,High School,Member,1,Regional
A26-100879,Applicant,ACT-12,High School,Officer,2,None
A26-100879,Applicant,ACT-17,High School,Officer,3,School
A26-102678,Applicant,ACT-11,High School,Founder,2,Regional
A26-102678,Applicant,ACT-01,High School,Officer,3,School
A26-102678,Applicant,ACT-12,High School,Member,3,None
A26-102678,Applicant,ACT-06,High School,Member,1,State
A26-105349,Applicant,ACT-28,High School,Officer,1,None
A26-105349,Applicant,ACT-15,High School,President,2,None
A26-105349,Applicant,ACT-23,High School,President,3,School
A26-105349,Applicant,ACT-09,High School,Founder,3,Regional
A26-105349,Applicant,ACT-06,High School,Member,2,School
A26-105349,Applicant,ACT-12,High School,Founder,3,Regional
A26-100374,Applicant,ACT-18,High School,Captain,1,None
A26-100374,Applicant,ACT-02,High School,Member,1,None
A26-100374,Applicant,ACT-24,High School,President,2,None
A26-101119,Applicant,ACT-21,High School,Member,2,School
A26-101119,Applicant,ACT-23,High School,Member,3,Regional
A26-101119,Applicant,ACT-25,High School,Member,2,None
A26-101119,Applicant,ACT-30,High School,Member,1,None
A26-100126,Applicant,ACT-11,High School,President,3,School
A26-100126,Applicant,ACT-12,High School,Member,3,None
A26-100126,Applicant,ACT-19,High School,Member,2,School
A26-100126,Applicant,ACT-27,High School,Captain,1,School
A26-100126,Applicant,ACT-26,High School,Member,2,None
A26-100126,Applicant,ACT-05,High School,Member,2,Regional
A26-106730,Applicant,ACT-12,High School,Member,4,Regional
A26-106730,Applicant,ACT-08,High School,Founder,4,Regional
A26-106730,Applicant,ACT-15,High School,Founder,2,None
A26-106730,Applicant,ACT-19,High School,Member,3,None
A26-106730,Applicant,ACT-13,High School,Officer,2,School
A26-100212,Applicant,ACT-10,High School,Member,4,None
A26-100212,Applicant,ACT-08,High School,Member,2,None
A26-100212,Applicant,ACT-12,High School,Officer,2,Regional
A26-100212,Applicant,ACT-26,High School,Member,2,None
A26-106812,Applicant,ACT-21,High School,President,3,National
A26-106812,Applicant,ACT-16,High School,Officer,4,None
A26-106812,Applicant,ACT-12,High School,Captain,3,None
A26-106812,Applicant,ACT-23,High School,Member,4,None
A26-106812,Applicant,ACT-06,High School,Officer,3,None
A26-106812,Applicant,ACT-08,High School,Captain,1,School
A26-100138,Applicant,ACT-12,High School,Member,2,Regional
A26-100138,Applicant,ACT-15,High School,Member,3,Regional
A26-100138,Applicant,ACT-05,High School,Captain,2,None
A26-101874,Applicant,ACT-08,High School,Member,1,None
A26-101874,Applicant,ACT-21,High School,Member,1,None
A26-101874,Applicant,ACT-12,High School,Officer,1,None
A26-101874,Applicant,ACT-29,High School,Member,3,School
A26-101874,Applicant,ACT-24,High School,Member,1,None
A26-102283,Applicant,ACT-15,High School,Member,2,None
A26-102283,Applicant,ACT-25,High School,Member,4,None
A26-102283,Applicant,ACT-12,High School,Captain,3,None
A26-102815,Applicant,ACT-22,High School,Member,4,None
A26-102815,Applicant,ACT-13,High School,Officer,2,Regional
A26-102815,Applicant,ACT-26,High School,Member,2,Regional
A26-107086,Applicant,ACT-08,High School,Officer,4,None
A26-107086,Applicant,ACT-12,High School,Member,3,School
A26-107086,Applicant,ACT-15,High School,Member,1,State
A26-107086,Applicant,ACT-03,High School,Member,2,Regional
A26-104365,Applicant,ACT-08,High School,Member,3,School
A26-104365,Applicant,ACT-06,High School,Member,1,Regional
A26-104365,Applicant,ACT-21,High School,Member,1,State
A26-101439,Applicant,ACT-28,High School,Officer,4,None
A26-101439,Applicant,ACT-23,High School,Member,4,None
A26-101439,Applicant,ACT-12,High School,Member,2,School
A26-101439,Applicant,ACT-16,High School,Member,4,Regional
A26-104128,Applicant,ACT-10,High School,Founder,3,None
A26-104128,Applicant,ACT-19,High School,Member,2,None
A26-104128,Applicant,ACT-12,High School,Member,3,School
A26-104128,Applicant,ACT-02,High School,Member,3,School
A26-104128,Applicant,ACT-16,High School,Member,3,School
A26-101470,Applicant,ACT-12,High School,Member,2,None
A26-101470,Applicant,ACT-08,High School,Officer,4,None
A26-101470,Applicant,ACT-15,High School,Member,4,None
A26-101470,Applicant,ACT-23,High School,Member,2,None
A26-101470,Applicant,ACT-03,High School,Officer,2,School
A26-107206,Applicant,ACT-23,High School,Officer,3,None
A26-107206,Applicant,ACT-12,High School,President,1,Regional
A26-107206,Applicant,ACT-05,High School,Member,3,None
A26-107206,Applicant,ACT-01,High School,Member,2,None
A26-107206,Applicant,ACT-19,High School,Officer,1,School
A26-107206,Applicant,ACT-16,High School,Member,1,State
A26-107215,Applicant,ACT-29,High School,Founder,4,None
A26-107215,Applicant,ACT-12,High School,Member,2,None
A26-107215,Applicant,ACT-15,High School,President,3,Regional
A26-100585,Applicant,ACT-23,High School,Member,3,None
A26-100585,Applicant,ACT-20,High School,Officer,2,None
A26-100585,Applicant,ACT-12,High School,Member,2,Regional
A26-100585,Applicant,ACT-31,High School,Founder,4,School
A26-100585,Applicant,ACT-24,High School,Officer,1,None
A26-100585,Applicant,ACT-35,High School,Member,3,State
A26-102407,Applicant,ACT-12,High School,Officer,2,School
A26-102407,Applicant,ACT-11,High School,Founder,3,None
A26-102407,Applicant,ACT-06,High School,Member,1,None
A26-102407,Applicant,ACT-29,High School,Member,2,School
A26-106222,Applicant,ACT-08,High School,Member,2,None
A26-106222,Applicant,ACT-05,High School,Member,3,State
A26-106222,Applicant,ACT-17,High School,Officer,4,None
A26-106222,Applicant,ACT-02,High School,Member,1,School
A26-101899,Applicant,ACT-17,High School,Member,4,School
A26-101899,Applicant,ACT-12,High School,Member,4,School
A26-101899,Applicant,ACT-23,High School,Member,2,State
A26-101899,Applicant,ACT-15,High School,Member,2,None
A26-103890,Applicant,ACT-08,High School,Member,3,State
A26-103890,Applicant,ACT-05,High School,Captain,1,School
A26-103890,Applicant,ACT-06,High School,Founder,4,School
A26-103890,Applicant,ACT-26,High School,Member,2,None
A26-103890,Applicant,ACT-09,High School,Officer,3,None
A26-105110,Applicant,ACT-08,High School,Member,2,None
A26-105110,Applicant,ACT-15,High School,President,4,School
A26-105110,Applicant,ACT-23,High School,Officer,3,School
A26-104980,Applicant,ACT-11,High School,Member,3,None
A26-104980,Applicant,ACT-07,High School,Officer,4,None
A26-104980,Applicant,ACT-01,High School,Officer,2,School
A26-100615,Applicant,ACT-12,High School,Member,2,School
A26-100615,Applicant,ACT-23,High School,Officer,4,School
A26-100615,Applicant,ACT-15,High School,Officer,1,State
A26-100615,Applicant,ACT-04,High School,Member,2,State
A26-105138,Applicant,ACT-23,High School,Member,1,School
A26-105138,Applicant,ACT-21,High School,Captain,4,School
A26-105138,Applicant,ACT-06,High School,Captain,1,None
A26-103901,Applicant,ACT-12,High School,Member,3,None
A26-103901,Applicant,ACT-23,High School,Member,2,None
A26-103901,Applicant,ACT-05,High School,Member,3,School
A26-105195,Applicant,ACT-01,High School,Member,4,School
A26-105195,Applicant,ACT-15,High School,Founder,4,None
A26-105195,Applicant,ACT-21,High School,Officer,4,Regional
A26-105195,Applicant,ACT-17,High School,Member,4,School
A26-105195,Applicant,ACT-23,High School,Officer,3,None
A26-104134,Applicant,ACT-05,High School,Captain,2,None
A26-104134,Applicant,ACT-04,High School,Member,3,None
A26-104134,Applicant,ACT-17,High School,Member,1,None
A26-104134,Applicant,ACT-10,High School,Officer,1,None
A26-100726,Applicant,ACT-08,High School,Member,2,None
A26-100726,Applicant,ACT-06,High School,Member,3,School
A26-100726,Applicant,ACT-23,High School,Member,4,None
A26-100726,Applicant,ACT-12,High School,Captain,4,Regional
A26-103332,Applicant,ACT-06,High School,Member,1,School
A26-103332,Applicant,ACT-18,High School,Member,2,School
A26-103332,Applicant,ACT-08,High School,Member,3,None
A26-103332,Applicant,ACT-12,High School,Officer,1,School
A26-103332,Applicant,ACT-23,High School,Captain,1,School
A26-103725,Applicant,ACT-01,High School,Member,3,None
A26-103725,Applicant,ACT-23,High School,Member,3,Regional
A26-103725,Applicant,ACT-15,High School,Officer,2,State
A26-103725,Applicant,ACT-09,High School,President,3,None
A26-104152,Applicant,ACT-15,High School,Member,4,None
A26-104152,Applicant,ACT-10,High School,Member,4,None
A26-104152,Applicant,ACT-23,High School,Member,3,None
A26-104152,Applicant,ACT-17,High School,Member,2,None
A26-105766,Applicant,ACT-06,High School,Member,2,School
A26-105766,Applicant,ACT-12,High School,Captain,1,None
A26-105766,Applicant,ACT-02,High School,Member,2,Regional
A26-105766,Applicant,ACT-28,High School,Member,2,None
A26-105766,Applicant,ACT-24,High School,Captain,1,State
A26-106657,Applicant,ACT-31,High School,Member,3,None
A26-106657,Applicant,ACT-11,High School,Member,2,None
A26-106657,Applicant,ACT-29,High School,Officer,3,None
A26-101452,Applicant,ACT-01,High School,Officer,1,None
A26-101452,Applicant,ACT-12,High School,Member,1,None
A26-101452,Applicant,ACT-19,High School,Member,1,School
A26-101452,Applicant,ACT-18,High School,Member,3,State
A26-101452,Applicant,ACT-15,High School,Member,4,None
A26-101452,Applicant,ACT-23,High School,Member,2,None
A26-101452,Applicant,ACT-41,High School,Member,4,School
A26-108192,Applicant,ACT-12,High School,Member,3,None
A26-108192,Applicant,ACT-08,High School,President,4,School
A26-108192,Applicant,ACT-15,High School,Member,4,School
A26-108192,Applicant,ACT-07,High School,Member,4,None
A26-106106,Applicant,ACT-09,High School,Member,3,State
A26-106106,Applicant,ACT-12,High School,Officer,3,None
A26-106106,Applicant,ACT-15,High School,Member,3,None
A26-106106,Applicant,ACT-24,High School,Member,1,School
A26-103883,Applicant,ACT-12,High School,Member,2,School
A26-103883,Applicant,ACT-03,High School,Officer,4,School
A26-103883,Applicant,ACT-06,High School,President,1,School
A26-105013,Applicant,ACT-28,High School,Member,2,Regional
A26-105013,Applicant,ACT-05,High School,Officer,4,School
A26-105013,Applicant,ACT-21,High School,Member,1,National
A26-105013,Applicant,ACT-04,High School,Member,1,None
A26-105013,Applicant,ACT-12,High School,Officer,4,None
A26-104161,Applicant,ACT-16,High School,Captain,2,National
A26-104161,Applicant,ACT-31,High School,Member,3,State
A26-104161,Applicant,ACT-19,High School,Captain,4,National
A26-104161,Applicant,ACT-12,High School,Member,1,Regional
A26-104161,Applicant,ACT-02,High School,Member,1,State
A26-107579,Applicant,ACT-06,High School,Member,3,None
A26-107579,Applicant,ACT-03,High School,Member,4,None
A26-107579,Applicant,ACT-23,High School,Member,4,Regional
A26-107579,Applicant,ACT-02,High School,Member,4,Regional
A26-107579,Applicant,ACT-18,High School,Officer,2,Regional
A26-105564,Applicant,ACT-12,High School,Officer,3,None
A26-105564,Applicant,ACT-19,High School,Member,3,None
A26-105564,Applicant,ACT-06,High School,Officer,1,School
A26-105564,Applicant,ACT-15,High School,Captain,4,None
A26-105564,Applicant,ACT-14,High School,Member,4,None
A26-108275,Applicant,ACT-03,High School,Member,2,None
A26-108275,Applicant,ACT-29,High School,Member,3,School
A26-108275,Applicant,ACT-23,High School,Officer,2,National
A26-108275,Applicant,ACT-13,High School,Officer,2,None
A26-104863,Applicant,ACT-23,High School,Captain,2,None
A26-104863,Applicant,ACT-14,High School,Member,4,None
A26-104863,Applicant,ACT-01,High School,Officer,2,State
A26-100624,Applicant,ACT-12,High School,Member,3,None
A26-100624,Applicant,ACT-08,High School,Officer,4,School
A26-100624,Applicant,ACT-07,High School,Officer,2,Regional
A26-104229,Applicant,ACT-11,High School,Captain,1,None
A26-104229,Applicant,ACT-15,High School,Member,1,None
A26-104229,Applicant,ACT-06,High School,Member,3,None
A26-104229,Applicant,ACT-03,High School,Officer,1,School
A26-107158,Applicant,ACT-02,High School,Officer,4,School
A26-107158,Applicant,ACT-06,High School,Founder,4,School
A26-107158,Applicant,ACT-12,High School,Officer,2,None
A26-107158,Applicant,ACT-26,High School,Member,2,School
A26-107158,Applicant,ACT-13,High School,President,3,None
A26-107158,Applicant,ACT-03,High School,Officer,1,None
A26-106410,Applicant,ACT-15,High School,Member,1,None
A26-106410,Applicant,ACT-01,High School,President,4,State
A26-106410,Applicant,ACT-12,High School,Member,3,None
A26-102475,Applicant,ACT-15,High School,Member,1,None
A26-102475,Applicant,ACT-12,High School,Member,2,None
A26-102475,Applicant,ACT-10,High School,Member,1,Regional
A26-102475,Applicant,ACT-27,High School,Member,1,None
A26-101022,Applicant,ACT-11,High School,Member,4,None
A26-101022,Applicant,ACT-13,High School,Member,3,Regional
A26-101022,Applicant,ACT-12,High School,Member,3,School
A26-101022,Applicant,ACT-23,High School,Member,4,State
A26-101022,Applicant,ACT-02,High School,Member,2,National
A26-103698,Applicant,ACT-15,High School,Member,3,None
A26-103698,Applicant,ACT-27,High School,Member,1,Regional
A26-103698,Applicant,ACT-31,High School,Member,3,State
A26-103698,Applicant,ACT-40,High School,Member,3,None
A26-102782,Applicant,ACT-11,High School,Captain,4,None
A26-102782,Applicant,ACT-12,High School,Member,2,National
A26-102782,Applicant,ACT-01,High School,Member,1,School
A26-102782,Applicant,ACT-08,High School,Member,1,State
A26-106021,Applicant,ACT-05,High School,Member,4,None
A26-106021,Applicant,ACT-12,High School,Member,1,None
A26-106021,Applicant,ACT-06,High School,Member,2,None
A26-106021,Applicant,ACT-28,High School,Member,2,School
A26-106021,Applicant,ACT-08,High School,Captain,3,School
A26-106021,Applicant,ACT-14,High School,Member,2,None
A26-105790,Applicant,ACT-15,High School,Captain,3,School
A26-105790,Applicant,ACT-02,High School,Officer,2,Regional
A26-105790,Applicant,ACT-28,High School,Member,1,Regional
A26-105790,Applicant,ACT-01,High School,Founder,4,State
A26-105790,Applicant,ACT-16,High School,Member,3,None
A26-105790,Applicant,ACT-25,High School,President,1,None
A26-108171,Applicant,ACT-11,High School,Member,3,None
A26-108171,Applicant,ACT-23,High School,Member,3,State
A26-108171,Applicant,ACT-19,High School,Member,4,School
A26-106059,Applicant,ACT-23,High School,Officer,2,None
A26-106059,Applicant,ACT-22,High School,President,2,None
A26-106059,Applicant,ACT-25,High School,Member,2,None
A26-107764,Applicant,ACT-11,High School,Member,1,School
A26-107764,Applicant,ACT-09,High School,Officer,4,State
A26-107764,Applicant,ACT-17,High School,Officer,1,State
A26-107777,Applicant,ACT-19,High School,Member,3,School
A26-107777,Applicant,ACT-23,High School,Officer,1,None
A26-107777,Applicant,ACT-24,High School,President,3,None
A26-106420,Applicant,ACT-09,High School,Member,4,None
A26-106420,Applicant,ACT-23,High School,Founder,2,None
A26-106420,Applicant,ACT-13,High School,Member,2,Regional
A26-100385,Applicant,ACT-28,High School,President,2,None
A26-100385,Applicant,ACT-12,High School,Member,4,Regional
A26-100385,Applicant,ACT-23,High School,Member,2,None
A26-100385,Applicant,ACT-09,High School,Member,4,School
A26-103315,Applicant,ACT-12,High School,Captain,3,None
A26-103315,Applicant,ACT-23,High School,Member,1,School
A26-103315,Applicant,ACT-19,High School,Member,1,None
A26-104111,Applicant,ACT-05,High School,Member,4,None
A26-104111,Applicant,ACT-06,High School,Member,2,None
A26-104111,Applicant,ACT-03,High School,Member,3,None
A26-104111,Applicant,ACT-12,High School,Officer,1,Regional
A26-104111,Applicant,ACT-30,High School,Member,2,None
A26-103383,Applicant,ACT-05,High School,Member,2,Regional
A26-103383,Applicant,ACT-20,High School,Member,3,None
A26-103383,Applicant,ACT-23,High School,Captain,1,School
A26-106536,Applicant,ACT-15,High School,Member,1,National
A26-106536,Applicant,ACT-19,High School,Member,2,Regional
A26-106536,Applicant,ACT-06,High School,Officer,1,None
A26-103162,Applicant,ACT-13,High School,Member,2,None
A26-103162,Applicant,ACT-15,High School,Member,4,School
A26-103162,Applicant,ACT-07,High School,Founder,3,None
A26-101074,Applicant,ACT-13,High School,Captain,4,None
A26-101074,Applicant,ACT-27,High School,President,4,None
A26-101074,Applicant,ACT-22,High School,Member,4,State
A26-101074,Applicant,ACT-02,High School,Member,2,None
A26-101074,Applicant,ACT-09,High School,Member,1,None
A26-106709,Applicant,ACT-20,High School,Officer,3,None
A26-106709,Applicant,ACT-15,High School,Member,1,None
A26-106709,Applicant,ACT-13,High School,Member,1,State
A26-106709,Applicant,ACT-05,High School,Officer,4,None
A26-106709,Applicant,ACT-17,High School,Member,2,None
A26-106709,Applicant,ACT-06,High School,Captain,4,School
A26-104102,Applicant,ACT-10,High School,Member,1,Regional
A26-104102,Applicant,ACT-15,High School,Member,3,School
A26-104102,Applicant,ACT-20,High School,Member,3,None
