alum_id,cohort_year,entry_academic_rating,entry_hs_gpa_recalc,entry_testing_policy,entry_sat_total,entry_region,entry_hs_type,entry_first_generation,entry_family_income_band,entry_institutional_aid,entry_intended_school,entry_intended_major,entry_athletic_recruit_sport,entry_demonstrated_interest_rating,final_school,final_major,first_year_gpa,final_cum_gpa,gpa_delta,retained_year2,graduated_4yr,graduated_6yr,academic_probation_ever,major_changes,leadership_roles_count,varsity_seasons,team_captain,honors_thesis,latin_honors,internships_count,study_abroad,postgrad_status_6mo,success_attainment,success_growth,success_completion,success_contribution,exemplar_flag,success_composite_tier
L2022-10010,2022,3,3.55,Test Optional,,Mid-Atlantic,Public,Y,$250K and above,10800,College of Arts & Sciences,Mathematics,Women's Lacrosse,3,College of Arts & Sciences,Mathematics,3.03,3.19,0.16,Y,Y,Y,N,3,1,2,N,N,N,2,N,Employed full-time,0.676,0.5941,1.0,0.1818,N,Tier 3 - Solid
L2023-10011,2023,3,3.47,Submitted,1260,Midwest,Public,N,$150K - $249K,17400,School of Business,Business Analytics,,3,School of Business,Business Analytics,3.07,3.23,0.16,Y,N,Y,N,0,3,0,N,Y,N,2,N,Employed full-time,0.692,0.5941,0.6,0.8182,Y,Tier 2 - Strong
L2024-10012,2024,3,3.78,Submitted,1350,Midwest,Public,N,$30K - $59K,32400,School of Nursing & Health,Public Health,,3,School of Nursing & Health,Public Health,3.61,3.71,0.10,Y,Y,Y,N,0,1,0,N,Y,Y,2,N,Employed full-time,0.884,0.5347,1.0,0.4545,Y,Tier 1 - Thrived
L2025-10013,2025,3,3.59,Submitted,1200,Mid-Atlantic,Public,N,$60K - $99K,28800,College of Arts & Sciences,Mathematics,,4,College of Arts & Sciences,Mathematics,2.78,2.93,0.15,Y,N,Y,N,0,0,0,N,N,N,0,N,Employed full-time,0.572,0.5842,0.6,0.0,N,Tier 4 - Struggled
L2019-10014,2019,2,3.49,Submitted,1250,West,Public,Y,$60K - $99K,50300,College of Arts & Sciences,Political Science,,4,College of Arts & Sciences,Political Science,2.53,2.49,-0.04,Y,N,Y,N,1,0,0,N,N,N,2,N,Seeking,0.396,0.396,0.6,0.0,N,Tier 4 - Struggled
L2020-10015,2020,3,3.70,Submitted,1250,Mid-Atlantic,Charter,Y,$100K - $149K,61500,School of Business,Finance,,5,School of Business,Finance,3.12,3.37,0.25,Y,Y,Y,N,2,3,0,N,Y,N,2,Y,Employed full-time,0.748,0.6832,1.0,0.8182,Y,Tier 1 - Thrived
L2021-10016,2021,4,3.70,Test Optional,,Mid-Atlantic,Public,N,$60K - $99K,56500,School of Nursing & Health,Health Administration,,5,School of Nursing & Health,Exercise Science,3.37,3.68,0.31,N,N,N,N,0,2,0,N,N,Y,2,Y,Employed full-time,0.872,0.7426,0.15,0.3636,N,Tier 4 - Struggled
L2022-10017,2022,4,3.94,Submitted,1360,New England,Public,N,$250K and above,51100,School of Engineering,Mechanical Engineering,,3,School of Engineering,Mechanical Engineering,4.00,4.00,0.00,N,N,N,N,3,3,0,N,N,Y,3,N,Fellowship,1.0,0.4356,0.15,0.5455,N,Tier 4 - Struggled
L2023-10018,2023,2,3.37,Submitted,1130,South,Public,N,$60K - $99K,16900,College of Arts & Sciences,Communication,,4,College of Arts & Sciences,Environmental Science,2.79,2.85,0.06,Y,Y,Y,N,0,0,0,N,N,N,0,Y,Unknown,0.54,0.495,1.0,0.0,N,Tier 4 - Struggled
L2024-10019,2024,4,3.80,Test Optional,,International,Public,N,$60K - $99K,29700,College of Arts & Sciences,English,,3,College of Arts & Sciences,English,3.32,3.66,0.34,Y,Y,Y,N,0,1,0,N,N,Y,1,N,Employed full-time,0.864,0.7723,1.0,0.1818,Y,Tier 2 - Strong
L2025-10020,2025,2,3.37,Submitted,1160,New England,Private - Independent,N,$100K - $149K,49400,College of Arts & Sciences,Economics,,5,College of Arts & Sciences,Economics,3.07,3.30,0.23,Y,Y,Y,N,0,1,0,N,N,N,0,N,Graduate or professional school,0.72,0.6634,1.0,0.1818,N,Tier 2 - Strong
L2019-10021,2019,4,3.98,Submitted,1440,Mid-Atlantic,Public,Y,$100K - $149K,14800,School of Nursing & Health,Exercise Science,,3,School of Nursing & Health,Exercise Science,3.58,4.00,0.42,Y,Y,Y,N,0,1,0,N,Y,Y,2,N,Employed full-time,1.0,0.8515,1.0,0.4545,Y,Tier 1 - Thrived
L2020-10022,2020,2,3.39,Submitted,1270,New England,Public,N,$100K - $149K,9400,College of Arts & Sciences,Political Science,,5,College of Arts & Sciences,Political Science,3.23,3.53,0.30,Y,Y,Y,N,0,0,0,N,N,N,1,N,Employed full-time,0.812,0.7327,1.0,0.0,N,Tier 2 - Strong
L2021-10023,2021,5,4.05,Test Optional,,Mid-Atlantic,Public,N,$250K and above,7900,School of Nursing & Health,Health Administration,,3,School of Nursing & Health,Health Administration,3.29,3.43,0.14,Y,Y,Y,N,0,1,0,N,N,N,1,N,Employed full-time,0.772,0.5743,1.0,0.1818,N,Tier 3 - Solid
L2022-10024,2022,4,3.97,Test Optional,,Midwest,Private - Independent,N,$150K - $249K,50100,College of Arts & Sciences,Neuroscience,,3,College of Arts & Sciences,Neuroscience,3.05,3.20,0.15,Y,Y,Y,N,0,1,0,N,N,N,3,N,Seeking,0.68,0.5842,1.0,0.1818,N,Tier 3 - Solid
L2023-10025,2023,4,3.75,Submitted,1380,West,Private - Independent,N,$60K - $99K,27900,College of Arts & Sciences,History,,2,College of Arts & Sciences,Neuroscience,3.92,4.00,0.08,Y,N,Y,N,0,1,0,N,N,Y,1,N,Fellowship,1.0,0.5149,0.6,0.1818,N,Tier 3 - Solid
L2024-10026,2024,4,4.09,Test Optional,,Mid-Atlantic,Public,N,$250K and above,30800,School of Business,Business Analytics,,4,School of Business,Business Analytics,2.66,2.69,0.03,Y,N,N,N,0,0,0,N,N,N,1,N,Employed full-time,0.476,0.4653,0.6,0.0,N,Tier 4 - Struggled
L2025-10027,2025,4,3.77,Submitted,1350,Midwest,Public,N,$250K and above,59300,College of Arts & Sciences,Environmental Science,,4,College of Arts & Sciences,History,3.05,2.93,-0.12,Y,Y,Y,N,2,1,0,N,N,N,0,N,Employed full-time,0.572,0.3168,1.0,0.1818,N,Tier 4 - Struggled
L2019-10028,2019,3,3.43,Submitted,1290,South,Public,N,$30K - $59K,17200,College of Arts & Sciences,English,,1,College of Arts & Sciences,Economics,3.01,3.16,0.15,Y,Y,Y,N,1,1,0,N,N,N,2,N,Employed full-time,0.664,0.5842,1.0,0.1818,N,Tier 3 - Solid
L2020-10029,2020,3,3.56,Submitted,1250,Mid-Atlantic,Public,N,$60K - $99K,54100,College of Arts & Sciences,Mathematics,,5,College of Arts & Sciences,Mathematics,3.38,3.84,0.46,Y,Y,Y,N,3,5,0,N,N,Y,2,N,Seeking,0.936,0.8911,1.0,0.9091,Y,Tier 1 - Thrived
L2021-10030,2021,3,3.58,Submitted,1190,Mid-Atlantic,Public,Y,$60K - $99K,11500,School of Business,Marketing,,5,School of Business,Marketing,3.26,3.44,0.18,Y,Y,Y,N,1,1,0,N,Y,N,0,N,Employed full-time,0.776,0.6139,1.0,0.4545,Y,Tier 2 - Strong
L2022-10031,2022,4,3.88,Test Optional,,Mid-Atlantic,Private - Independent,Y,$100K - $149K,44900,School of Engineering,Mechanical Engineering,Rowing,4,School of Engineering,Mechanical Engineering,3.59,3.86,0.27,Y,Y,Y,N,0,1,4,N,N,Y,0,Y,Employed full-time,0.944,0.703,1.0,0.1818,Y,Tier 2 - Strong
L2023-10032,2023,2,3.41,Submitted,1100,New England,Parochial,N,$150K - $249K,56500,College of Arts & Sciences,Chemistry,,3,College of Arts & Sciences,Chemistry,2.52,2.52,0.00,Y,Y,Y,N,0,2,0,N,N,N,0,N,Employed full-time,0.408,0.4356,1.0,0.3636,N,Tier 3 - Solid
L2024-10033,2024,4,3.92,Submitted,1430,Midwest,Public,Y,$100K - $149K,7200,School of Nursing & Health,Nursing (BSN),,2,School of Nursing & Health,Exercise Science,3.54,3.55,0.01,Y,Y,Y,N,2,0,0,N,Y,N,3,N,Employed full-time,0.82,0.4455,1.0,0.2727,N,Tier 2 - Strong
L2025-10034,2025,2,3.32,Submitted,1260,Midwest,Public,N,$100K - $149K,44600,School of Nursing & Health,Public Health,,2,School of Nursing & Health,Public Health,2.71,2.55,-0.16,N,N,N,N,1,1,0,N,N,N,1,N,Employed full-time,0.42,0.2772,0.15,0.1818,N,Tier 4 - Struggled
L2019-10035,2019,4,3.90,Submitted,1440,New England,Public,N,$30K - $59K,31500,School of Engineering,Computer Science,,5,School of Engineering,Computer Science,3.81,4.00,0.19,Y,Y,Y,N,3,1,0,N,N,Y,2,Y,Seeking,1.0,0.6238,1.0,0.1818,Y,Tier 2 - Strong
L2020-10036,2020,3,3.59,Submitted,1310,West,Public,N,Not Reported,6300,School of Nursing & Health,Health Administration,,3,School of Nursing & Health,Health Administration,3.10,3.33,0.23,N,N,N,N,0,0,0,N,N,N,2,N,Employed full-time,0.732,0.6634,0.15,0.0,N,Tier 4 - Struggled
L2021-10037,2021,3,3.58,Test Optional,,West,Private - Independent,N,$30K - $59K,25600,College of Arts & Sciences,Mathematics,,4,College of Arts & Sciences,Mathematics,3.38,3.58,0.20,Y,Y,Y,N,3,3,0,N,N,N,2,N,Employed full-time,0.832,0.6337,1.0,0.5455,Y,Tier 1 - Thrived
L2022-10038,2022,3,3.46,Test Optional,,International,Public,N,$100K - $149K,2100,School of Engineering,Biomedical Engineering,,3,School of Engineering,Biomedical Engineering,3.05,3.31,0.26,Y,Y,Y,N,0,3,0,N,Y,N,3,N,Graduate or professional school,0.724,0.6931,1.0,0.8182,Y,Tier 1 - Thrived
L2023-10039,2023,4,3.70,Test Optional,,Mid-Atlantic,Public,N,Under $30K,61000,School of Engineering,Biomedical Engineering,,3,School of Engineering,Biomedical Engineering,2.91,3.11,0.20,Y,Y,Y,N,2,1,0,N,N,N,4,N,Employed full-time,0.644,0.6337,1.0,0.1818,N,Tier 3 - Solid
L2024-10040,2024,3,3.73,Submitted,1320,New England,Public,N,$250K and above,45200,College of Arts & Sciences,Chemistry,,3,College of Arts & Sciences,History,2.49,2.49,0.00,Y,Y,Y,N,2,2,0,N,N,N,1,N,Graduate or professional school,0.396,0.4356,1.0,0.3636,N,Tier 3 - Solid
L2025-10041,2025,3,3.46,Submitted,1240,New England,Home School,N,$100K - $149K,29300,School of Business,Management,,3,School of Business,Management,2.61,2.69,0.08,Y,Y,Y,N,0,2,0,N,N,N,0,N,Employed full-time,0.476,0.5149,1.0,0.3636,N,Tier 3 - Solid
L2019-10042,2019,3,3.84,Submitted,1270,New England,Public,N,$250K and above,24400,College of Arts & Sciences,Mathematics,,4,College of Arts & Sciences,Psychology,3.47,3.66,0.19,Y,Y,Y,Y,1,2,0,N,N,Y,2,Y,Employed full-time,0.864,0.6238,0.85,0.3636,Y,Tier 2 - Strong
L2020-10043,2020,4,3.79,Test Optional,,Mid-Atlantic,Public,N,$150K - $249K,21700,College of Arts & Sciences,Environmental Science,,3,College of Arts & Sciences,Environmental Science,3.07,3.17,0.10,Y,Y,Y,Y,0,2,0,N,N,N,2,Y,Unknown,0.668,0.5347,0.85,0.3636,N,Tier 3 - Solid
L2021-10044,2021,3,3.81,Submitted,1370,New England,Parochial,Y,$150K - $249K,18300,School of Business,Supply Chain Management,,4,School of Business,Supply Chain Management,3.08,3.44,0.36,Y,Y,Y,N,3,1,0,N,N,N,1,Y,Employed full-time,0.776,0.7921,1.0,0.1818,Y,Tier 2 - Strong
L2022-10045,2022,3,3.66,Submitted,1360,Southwest,Public,Y,$250K and above,52200,School of Business,Business Analytics,,2,School of Business,Business Analytics,3.66,3.97,0.31,Y,Y,Y,N,0,3,0,N,N,N,2,N,Graduate or professional school,0.988,0.7426,1.0,0.5455,Y,Tier 1 - Thrived
L2023-10046,2023,3,3.60,Submitted,1290,Midwest,Public,N,$150K - $249K,11600,College of Arts & Sciences,English,,2,College of Arts & Sciences,English,2.68,2.67,-0.01,Y,Y,Y,N,0,3,0,N,N,N,3,N,Employed full-time,0.468,0.4257,1.0,0.5455,N,Tier 3 - Solid
L2024-10047,2024,4,3.88,Test Optional,,Midwest,Public,N,$30K - $59K,12200,College of Arts & Sciences,Undeclared,,4,College of Arts & Sciences,Undeclared,3.29,3.48,0.19,Y,Y,Y,N,2,1,0,N,N,N,2,N,Graduate or professional school,0.792,0.6238,1.0,0.1818,N,Tier 2 - Strong
L2025-10048,2025,5,4.17,Test Optional,,Mid-Atlantic,Public,N,$30K - $59K,24700,School of Business,Management,,4,School of Business,Management,3.61,4.00,0.39,Y,Y,Y,N,3,1,0,N,Y,Y,2,Y,Graduate or professional school,1.0,0.8218,1.0,0.4545,Y,Tier 1 - Thrived
L2019-10049,2019,3,3.67,Submitted,1320,New England,Public,Y,$30K - $59K,60600,School of Engineering,Biomedical Engineering,,3,School of Engineering,Biomedical Engineering,2.89,3.26,0.37,Y,Y,Y,N,1,3,0,N,N,N,1,N,Graduate or professional school,0.704,0.802,1.0,0.5455,Y,Tier 1 - Thrived
L2020-10050,2020,3,3.79,Submitted,1300,Mid-Atlantic,Private - Independent,N,Not Reported,20400,College of Arts & Sciences,Sociology,,3,College of Arts & Sciences,Sociology,3.48,3.50,0.02,Y,Y,Y,Y,0,0,0,N,N,N,1,N,Employed full-time,0.8,0.4554,0.85,0.0,N,Tier 4 - Struggled
L2021-10051,2021,3,3.54,Submitted,1210,International,Public,Y,$100K - $149K,32100,College of Arts & Sciences,English,,4,College of Arts & Sciences,Economics,3.14,3.28,0.14,Y,Y,Y,N,0,0,0,N,N,N,1,N,Seeking,0.712,0.5743,1.0,0.0,N,Tier 3 - Solid
L2022-10052,2022,4,3.81,Test Optional,,West,Public,N,$150K - $249K,7900,College of Arts & Sciences,English,,3,College of Arts & Sciences,Political Science,3.09,3.24,0.15,Y,Y,Y,N,0,1,0,N,Y,N,1,N,Graduate or professional school,0.696,0.5842,1.0,0.4545,Y,Tier 2 - Strong
L2023-10053,2023,3,3.51,Submitted,1230,International,International School,N,$100K - $149K,3300,College of Arts & Sciences,Chemistry,,5,College of Arts & Sciences,Chemistry,3.07,3.10,0.03,Y,Y,Y,Y,0,1,0,N,N,N,1,N,Employed full-time,0.64,0.4653,0.85,0.1818,N,Tier 4 - Struggled
L2024-10054,2024,4,3.76,Submitted,1430,New England,International School,N,$60K - $99K,40600,School of Engineering,Civil Engineering,,4,School of Engineering,Civil Engineering,3.30,3.31,0.01,Y,Y,Y,N,1,1,0,N,N,N,3,N,Graduate or professional school,0.724,0.4455,1.0,0.1818,N,Tier 3 - Solid
L2025-10055,2025,2,3.40,Submitted,1200,Mid-Atlantic,Parochial,Y,$250K and above,61000,College of Arts & Sciences,Sociology,Rowing,3,College of Arts & Sciences,Economics,2.81,2.75,-0.06,Y,Y,Y,N,1,0,3,N,N,N,1,N,Fellowship,0.5,0.3762,1.0,0.0,N,Tier 4 - Struggled
L2019-10056,2019,3,3.69,Test Optional,,West,Parochial,N,$150K - $249K,14500,College of Arts & Sciences,Mathematics,,3,College of Arts & Sciences,Mathematics,3.08,3.31,0.23,Y,Y,Y,N,3,1,0,N,N,N,2,N,Employed full-time,0.724,0.6634,1.0,0.1818,N,Tier 2 - Strong
L2020-10057,2020,2,3.37,Test Optional,,International,Private - Independent,N,Not Reported,10900,School of Business,Supply Chain Management,Softball,3,School of Business,Supply Chain Management,3.36,3.56,0.20,Y,Y,Y,N,0,3,3,N,N,N,2,N,Employed full-time,0.824,0.6337,1.0,0.5455,Y,Tier 1 - Thrived
L2021-10058,2021,3,3.67,Submitted,1180,South,Public,N,$100K - $149K,1500,College of Arts & Sciences,Psychology,,3,College of Arts & Sciences,Biology,2.98,3.07,0.09,Y,Y,Y,N,0,2,0,N,Y,N,2,Y,Employed full-time,0.628,0.5248,1.0,0.6364,Y,Tier 2 - Strong
L2022-10059,2022,3,3.64,Submitted,1320,Southwest,Public,N,$100K - $149K,55400,School of Nursing & Health,Nursing (BSN),,3,School of Nursing & Health,Public Health,3.57,3.58,0.01,Y,Y,Y,N,0,1,0,N,N,N,2,Y,Employed full-time,0.832,0.4455,1.0,0.1818,N,Tier 3 - Solid
L2023-10060,2023,3,3.47,Submitted,1340,Mid-Atlantic,Public,N,$100K - $149K,10500,College of Arts & Sciences,Economics,,3,College of Arts & Sciences,Economics,2.50,2.51,0.01,Y,Y,Y,Y,1,0,0,N,N,N,1,N,Fellowship,0.404,0.4455,0.85,0.0,N,Tier 4 - Struggled
L2024-10061,2024,3,3.53,Test Optional,,Mid-Atlantic,International School,N,$100K - $149K,51700,College of Arts & Sciences,Neuroscience,,3,College of Arts & Sciences,Neuroscience,2.91,2.90,-0.01,Y,N,N,N,0,3,0,N,N,N,0,Y,Employed full-time,0.56,0.4257,0.6,0.5455,N,Tier 4 - Struggled
L2025-10062,2025,2,3.39,Test Optional,,International,Charter,N,$100K - $149K,51600,School of Business,Accounting,,5,School of Business,Accounting,2.80,2.96,0.16,Y,Y,Y,N,0,2,0,N,N,N,1,N,Employed full-time,0.584,0.5941,1.0,0.3636,N,Tier 2 - Strong
L2019-10063,2019,4,3.78,Submitted,1360,New England,Public,N,$150K - $249K,6500,School of Nursing & Health,Exercise Science,,4,School of Nursing & Health,Exercise Science,3.31,3.69,0.38,Y,N,Y,N,1,2,0,N,N,N,1,Y,Employed full-time,0.876,0.8119,0.6,0.3636,N,Tier 2 - Strong
L2020-10064,2020,3,3.49,Submitted,1270,Southwest,International School,Y,$100K - $149K,44800,College of Arts & Sciences,History,,2,College of Arts & Sciences,History,3.12,3.42,0.30,Y,Y,Y,N,0,1,0,N,N,N,2,N,Employed full-time,0.768,0.7327,1.0,0.1818,Y,Tier 2 - Strong
L2021-10065,2021,4,3.90,Test Optional,,Mid-Atlantic,Public,Y,$30K - $59K,51400,College of Fine Arts,Theatre,,3,College of Fine Arts,Theatre,3.45,3.62,0.17,Y,Y,Y,N,0,2,0,N,N,N,1,N,Seeking,0.848,0.604,1.0,0.3636,Y,Tier 2 - Strong
L2022-10066,2022,3,3.51,Submitted,1270,New England,International School,N,$100K - $149K,12900,College of Arts & Sciences,Neuroscience,,2,College of Arts & Sciences,Neuroscience,2.88,3.20,0.32,Y,Y,Y,Y,1,1,0,N,N,N,1,N,Employed full-time,0.68,0.7525,0.85,0.1818,N,Tier 3 - Solid
L2023-10067,2023,3,3.49,Test Optional,,International,Public,N,$250K and above,17400,School of Engineering,Computer Science,,2,School of Engineering,Computer Science,3.05,3.34,0.29,Y,Y,Y,N,2,1,0,N,Y,N,1,N,Graduate or professional school,0.736,0.7228,1.0,0.4545,Y,Tier 1 - Thrived
L2024-10068,2024,3,3.37,Submitted,1310,Midwest,Public,N,$150K - $249K,49200,College of Fine Arts,Studio Art,,3,College of Fine Arts,Studio Art,3.28,3.61,0.33,Y,Y,Y,N,0,1,0,N,N,N,2,N,Employed full-time,0.844,0.7624,1.0,0.1818,Y,Tier 2 - Strong
L2025-10069,2025,3,3.58,Test Optional,,New England,Public,Y,$60K - $99K,57800,College of Arts & Sciences,Environmental Science,,4,College of Arts & Sciences,Undeclared,3.05,3.56,0.51,Y,Y,Y,N,2,4,0,N,N,N,1,Y,Seeking,0.824,0.9406,1.0,0.7273,Y,Tier 1 - Thrived
L2019-10070,2019,4,3.68,Test Optional,,Southwest,Public,N,$100K - $149K,44300,College of Arts & Sciences,History,,4,College of Arts & Sciences,History,3.28,3.57,0.29,Y,Y,Y,N,2,1,0,N,Y,N,2,Y,Graduate or professional school,0.828,0.7228,1.0,0.4545,Y,Tier 1 - Thrived
L2020-10071,2020,4,3.97,Submitted,1420,Mid-Atlantic,Private - Independent,N,$100K - $149K,61800,School of Nursing & Health,Health Administration,,4,School of Nursing & Health,Health Administration,3.48,3.66,0.18,Y,Y,Y,N,0,0,0,N,Y,Y,2,Y,Graduate or professional school,0.864,0.6139,1.0,0.2727,Y,Tier 2 - Strong
L2021-10072,2021,2,3.29,Submitted,1240,Mid-Atlantic,Parochial,Y,$150K - $249K,31600,School of Business,Management,,3,School of Business,Management,2.59,2.77,0.18,Y,N,N,N,2,0,0,N,N,N,0,N,Graduate or professional school,0.508,0.6139,0.6,0.0,N,Tier 4 - Struggled
L2022-10073,2022,5,4.13,Test Optional,,International,Private - Independent,N,$60K - $99K,38800,School of Business,Finance,,1,School of Business,Finance,3.57,4.00,0.43,Y,Y,Y,N,0,3,0,N,N,Y,2,N,Graduate or professional school,1.0,0.8614,1.0,0.5455,Y,Tier 1 - Thrived
L2023-10074,2023,4,3.80,Submitted,1440,Mid-Atlantic,Public,N,$100K - $149K,11800,School of Business,Management,,3,School of Business,Management,3.42,3.64,0.22,Y,Y,Y,N,1,1,0,N,N,N,1,N,Seeking,0.856,0.6535,1.0,0.1818,Y,Tier 2 - Strong
L2024-10075,2024,2,3.40,Submitted,1160,Mid-Atlantic,Private - Independent,N,$100K - $149K,34200,School of Engineering,Mechanical Engineering,,1,School of Engineering,Biomedical Engineering,2.48,2.84,0.36,N,N,N,Y,0,0,0,N,N,N,1,N,Graduate or professional school,0.536,0.7921,0.0,0.0,N,Tier 4 - Struggled
L2025-10076,2025,3,3.66,Submitted,1360,Midwest,Public,N,$150K - $249K,12500,School of Engineering,Biomedical Engineering,,5,School of Engineering,Biomedical Engineering,2.15,2.35,0.20,Y,N,Y,N,1,0,0,N,N,N,2,N,Employed full-time,0.34,0.6337,0.6,0.0,N,Tier 4 - Struggled
L2019-10077,2019,4,3.93,Submitted,1420,Midwest,Public,N,$100K - $149K,37500,School of Engineering,Electrical Engineering,,3,School of Engineering,Electrical Engineering,3.41,3.67,0.26,Y,Y,Y,N,1,2,0,N,N,Y,0,Y,Employed full-time,0.868,0.6931,1.0,0.3636,Y,Tier 1 - Thrived
L2020-10078,2020,3,3.61,Submitted,1330,West,Public,Y,$100K - $149K,57300,School of Nursing & Health,Health Administration,,4,School of Nursing & Health,Health Administration,2.97,3.44,0.47,Y,N,N,Y,0,3,0,N,N,N,1,Y,Employed full-time,0.776,0.901,0.45,0.5455,Y,Tier 2 - Strong
L2021-10079,2021,4,3.80,Submitted,1330,Mid-Atlantic,Public,N,$60K - $99K,5300,College of Fine Arts,Theatre,,2,College of Fine Arts,Theatre,3.32,3.46,0.14,Y,Y,Y,N,0,1,0,N,N,N,4,N,Employed full-time,0.784,0.5743,1.0,0.1818,N,Tier 2 - Strong
L2022-10080,2022,4,3.77,Submitted,1390,Mid-Atlantic,Public,N,$250K and above,33800,School of Nursing & Health,Public Health,,1,School of Nursing & Health,Public Health,2.50,2.45,-0.05,Y,Y,Y,N,0,2,0,N,N,N,2,N,Employed full-time,0.38,0.3861,1.0,0.3636,N,Tier 4 - Struggled
L2023-10081,2023,3,3.44,Test Optional,,Mid-Atlantic,Public,N,Not Reported,18700,School of Engineering,Biomedical Engineering,,4,School of Engineering,Biomedical Engineering,3.23,3.65,0.42,Y,Y,Y,N,2,0,0,N,N,Y,2,N,Graduate or professional school,0.86,0.8515,1.0,0.0,Y,Tier 2 - Strong
L2024-10082,2024,5,4.10,Test Optional,,Mid-Atlantic,Public,Y,Under $30K,36400,College of Arts & Sciences,Economics,,3,College of Arts & Sciences,Political Science,3.51,3.60,0.09,Y,N,Y,N,2,2,0,N,Y,N,0,N,Fellowship,0.84,0.5248,0.6,0.6364,N,Tier 2 - Strong
L2025-10083,2025,3,3.55,Test Optional,,South,Public,N,$150K - $249K,34200,College of Arts & Sciences,Environmental Science,,4,College of Arts & Sciences,Environmental Science,2.76,3.00,0.24,Y,Y,Y,N,0,1,0,N,N,N,1,Y,Employed full-time,0.6,0.6733,1.0,0.1818,N,Tier 3 - Solid
L2019-10084,2019,2,3.29,Submitted,1100,Midwest,Public,N,$150K - $249K,9400,School of Business,Finance,,4,School of Business,Business Analytics,2.64,2.70,0.06,N,N,N,Y,3,0,0,N,N,N,0,N,Fellowship,0.48,0.495,0.0,0.0,N,Tier 4 - Struggled
