person_id,person_type,club_id,relationship,interest_signal,signal_strength,club_role,years_active
A26-102815,Applicant,CLB-29,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-102815,Applicant,CLB-27,INTERESTED_IN,Portal Click,Passive,,
A26-107086,Applicant,CLB-03,INTERESTED_IN,Info Session Topic,Passive,,
A26-104365,Applicant,CLB-22,INTERESTED_IN,Portal Click,Sustained,,
A26-104365,Applicant,CLB-09,INTERESTED_IN,Portal Click,Passive,,
A26-101439,Applicant,CLB-09,INTERESTED_IN,Application Checkbox,Passive,,
A26-101470,Applicant,CLB-23,INTERESTED_IN,Application Checkbox,Passive,,
A26-101470,Applicant,CLB-10,INTERESTED_IN,Portal Click,Passive,,
A26-101470,Applicant,CLB-14,INTERESTED_IN,Portal Click,Sustained,,
A26-101470,Applicant,CLB-21,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-107206,Applicant,CLB-01,INTERESTED_IN,Portal Click,Sustained,,
A26-107206,Applicant,CLB-05,INTERESTED_IN,Info Session Topic,Sustained,,
A26-100585,Applicant,CLB-21,INTERESTED_IN,Application Checkbox,Passive,,
A26-102407,Applicant,CLB-41,INTERESTED_IN,Counsellor Note,Sustained,,
A26-102407,Applicant,CLB-13,INTERESTED_IN,Application Checkbox,Sustained,,
A26-106222,Applicant,CLB-09,INTERESTED_IN,Info Session Topic,Explicit,,
A26-101899,Applicant,CLB-39,INTERESTED_IN,Portal Click,Sustained,,
A26-103890,Applicant,CLB-14,INTERESTED_IN,Portal Click,Passive,,
A26-103890,Applicant,CLB-09,INTERESTED_IN,Portal Click,Explicit,,
A26-105110,Applicant,CLB-17,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-105110,Applicant,CLB-08,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-104980,Applicant,CLB-41,INTERESTED_IN,Essay Mention,Passive,,
A26-104980,Applicant,CLB-07,INTERESTED_IN,Essay Mention,Explicit,,
A26-100615,Applicant,CLB-14,INTERESTED_IN,Portal Click,Passive,,
A26-105138,Applicant,CLB-23,INTERESTED_IN,Application Checkbox,Explicit,,
A26-105138,Applicant,CLB-04,INTERESTED_IN,Info Session Topic,Passive,,
A26-103901,Applicant,CLB-05,INTERESTED_IN,Portal Click,Passive,,
A26-105195,Applicant,CLB-22,INTERESTED_IN,Essay Mention,Passive,,
A26-104134,Applicant,CLB-05,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-100726,Applicant,CLB-23,INTERESTED_IN,Essay Mention,Passive,,
A26-103332,Applicant,CLB-24,INTERESTED_IN,Counsellor Note,Passive,,
A26-103332,Applicant,CLB-14,INTERESTED_IN,Info Session Topic,Explicit,,
A26-103332,Applicant,CLB-23,INTERESTED_IN,Portal Click,Explicit,,
A26-103725,Applicant,CLB-17,INTERESTED_IN,Info Session Topic,Explicit,,
A26-103725,Applicant,CLB-39,INTERESTED_IN,Essay Mention,Sustained,,
A26-104152,Applicant,CLB-19,INTERESTED_IN,Portal Click,Explicit,,
A26-104152,Applicant,CLB-40,INTERESTED_IN,Portal Click,Passive,,
A26-105766,Applicant,CLB-14,INTERESTED_IN,Counsellor Note,Sustained,,
A26-105766,Applicant,CLB-24,INTERESTED_IN,Counsellor Note,Passive,,
A26-105766,Applicant,CLB-06,INTERESTED_IN,Application Checkbox,Explicit,,
A26-106657,Applicant,CLB-41,INTERESTED_IN,Essay Mention,Passive,,
A26-101452,Applicant,CLB-14,INTERESTED_IN,Portal Click,Explicit,,
A26-103883,Applicant,CLB-03,INTERESTED_IN,Portal Click,Passive,,
A26-103883,Applicant,CLB-06,INTERESTED_IN,Info Session Topic,Passive,,
A26-103883,Applicant,CLB-29,INTERESTED_IN,Essay Mention,Passive,,
A26-105013,Applicant,CLB-04,INTERESTED_IN,Counsellor Note,Sustained,,
A26-104161,Applicant,CLB-14,INTERESTED_IN,Info Session Topic,Passive,,
A26-104161,Applicant,CLB-02,INTERESTED_IN,Application Checkbox,Passive,,
A26-104161,Applicant,CLB-18,INTERESTED_IN,Portal Click,Passive,,
A26-107579,Applicant,CLB-29,INTERESTED_IN,Info Session Topic,Explicit,,
A26-105564,Applicant,CLB-01,INTERESTED_IN,Portal Click,Passive,,
A26-105564,Applicant,CLB-14,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-108275,Applicant,CLB-15,INTERESTED_IN,Application Checkbox,Explicit,,
A26-108275,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Passive,,
A26-108275,Applicant,CLB-22,INTERESTED_IN,Essay Mention,Passive,,
A26-100624,Applicant,CLB-09,INTERESTED_IN,Application Checkbox,Sustained,,
A26-100624,Applicant,CLB-14,INTERESTED_IN,Application Checkbox,Passive,,
A26-104229,Applicant,CLB-03,INTERESTED_IN,Portal Click,Explicit,,
A26-107158,Applicant,CLB-02,INTERESTED_IN,Portal Click,Explicit,,
A26-107158,Applicant,CLB-03,INTERESTED_IN,Info Session Topic,Passive,,
A26-106410,Applicant,CLB-01,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-106410,Applicant,CLB-17,INTERESTED_IN,Application Checkbox,Passive,,
A26-102475,Applicant,CLB-14,INTERESTED_IN,Portal Click,Explicit,,
A26-102475,Applicant,CLB-13,INTERESTED_IN,Application Checkbox,Explicit,,
A26-101022,Applicant,CLB-13,INTERESTED_IN,Portal Click,Passive,,
A26-103698,Applicant,CLB-17,INTERESTED_IN,Portal Click,Explicit,,
A26-102782,Applicant,CLB-41,INTERESTED_IN,Info Session Topic,Passive,,
A26-102782,Applicant,CLB-10,INTERESTED_IN,Info Session Topic,Passive,,
A26-105790,Applicant,CLB-39,INTERESTED_IN,Portal Click,Explicit,,
A26-105790,Applicant,CLB-17,INTERESTED_IN,Essay Mention,Sustained,,
A26-108171,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Passive,,
A26-108171,Applicant,CLB-41,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-108171,Applicant,CLB-35,INTERESTED_IN,Portal Click,Sustained,,
A26-108171,Applicant,CLB-13,INTERESTED_IN,Info Session Topic,Explicit,,
A26-106059,Applicant,CLB-29,INTERESTED_IN,Application Checkbox,Passive,,
A26-106059,Applicant,CLB-32,INTERESTED_IN,Info Session Topic,Passive,,
A26-106059,Applicant,CLB-27,INTERESTED_IN,Portal Click,Sustained,,
A26-107777,Applicant,CLB-40,INTERESTED_IN,Counsellor Note,Sustained,,
A26-107777,Applicant,CLB-24,INTERESTED_IN,Portal Click,Passive,,
A26-106420,Applicant,CLB-11,INTERESTED_IN,Portal Click,Passive,,
A26-106420,Applicant,CLB-23,INTERESTED_IN,Application Checkbox,Passive,,
A26-100385,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Passive,,
A26-100385,Applicant,CLB-14,INTERESTED_IN,Application Checkbox,Passive,,
A26-103315,Applicant,CLB-44,INTERESTED_IN,Portal Click,Passive,,
A26-103315,Applicant,CLB-23,INTERESTED_IN,Counsellor Note,Passive,,
A26-104111,Applicant,CLB-14,INTERESTED_IN,Application Checkbox,Sustained,,
A26-103383,Applicant,CLB-37,INTERESTED_IN,Portal Click,Explicit,,
A26-103162,Applicant,CLB-15,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-103162,Applicant,CLB-07,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-103162,Applicant,CLB-08,INTERESTED_IN,Portal Click,Sustained,,
A26-101074,Applicant,CLB-28,INTERESTED_IN,Info Session Topic,Explicit,,
A26-106709,Applicant,CLB-17,INTERESTED_IN,Portal Click,Explicit,,
A26-104102,Applicant,CLB-17,INTERESTED_IN,Application Checkbox,Explicit,,
A26-104102,Applicant,CLB-26,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-104102,Applicant,CLB-44,INTERESTED_IN,Essay Mention,Explicit,,
A26-104102,Applicant,CLB-12,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-104539,Applicant,CLB-14,INTERESTED_IN,Essay Mention,Sustained,,
A26-104539,Applicant,CLB-11,INTERESTED_IN,Essay Mention,Sustained,,
A26-104539,Applicant,CLB-23,INTERESTED_IN,Essay Mention,Passive,,
A26-107273,Applicant,CLB-14,INTERESTED_IN,Info Session Topic,Explicit,,
A26-104843,Applicant,CLB-39,INTERESTED_IN,Essay Mention,Explicit,,
A26-104843,Applicant,CLB-24,INTERESTED_IN,Portal Click,Sustained,,
A26-103918,Applicant,CLB-14,INTERESTED_IN,Portal Click,Passive,,
A26-103918,Applicant,CLB-12,INTERESTED_IN,Essay Mention,Explicit,,
A26-103918,Applicant,CLB-05,INTERESTED_IN,Info Session Topic,Passive,,
A26-106780,Applicant,CLB-01,INTERESTED_IN,Essay Mention,Passive,,
A26-106780,Applicant,CLB-39,INTERESTED_IN,Application Checkbox,Explicit,,
A26-106780,Applicant,CLB-07,INTERESTED_IN,Info Session Topic,Passive,,
A26-106780,Applicant,CLB-22,INTERESTED_IN,Info Session Topic,Explicit,,
A26-107963,Applicant,CLB-35,INTERESTED_IN,Info Session Topic,Passive,,
A26-107963,Applicant,CLB-10,INTERESTED_IN,Application Checkbox,Explicit,,
A26-107963,Applicant,CLB-12,INTERESTED_IN,Portal Click,Explicit,,
A26-107963,Applicant,CLB-32,INTERESTED_IN,Portal Click,Explicit,,
A26-103097,Applicant,CLB-09,INTERESTED_IN,Info Session Topic,Passive,,
A26-103097,Applicant,CLB-10,INTERESTED_IN,Portal Click,Passive,,
A26-102043,Applicant,CLB-24,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-103525,Applicant,CLB-39,INTERESTED_IN,Application Checkbox,Passive,,
A26-103525,Applicant,CLB-14,INTERESTED_IN,Essay Mention,Passive,,
A26-103525,Applicant,CLB-01,INTERESTED_IN,Info Session Topic,Passive,,
A26-103525,Applicant,CLB-20,INTERESTED_IN,Portal Click,Sustained,,
A26-105380,Applicant,CLB-15,INTERESTED_IN,Portal Click,Sustained,,
A26-105380,Applicant,CLB-01,INTERESTED_IN,Counsellor Note,Explicit,,
A26-105380,Applicant,CLB-09,INTERESTED_IN,Application Checkbox,Explicit,,
A26-105380,Applicant,CLB-10,INTERESTED_IN,Essay Mention,Explicit,,
A26-107874,Applicant,CLB-03,INTERESTED_IN,Portal Click,Explicit,,
A26-107874,Applicant,CLB-14,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-107874,Applicant,CLB-37,INTERESTED_IN,Info Session Topic,Explicit,,
A26-100438,Applicant,CLB-41,INTERESTED_IN,Portal Click,Passive,,
A26-100438,Applicant,CLB-05,INTERESTED_IN,Info Session Topic,Explicit,,
A26-100438,Applicant,CLB-08,INTERESTED_IN,Info Session Topic,Sustained,,
A26-102997,Applicant,CLB-14,INTERESTED_IN,Info Session Topic,Explicit,,
A26-102997,Applicant,CLB-28,INTERESTED_IN,Counsellor Note,Passive,,
A26-102997,Applicant,CLB-09,INTERESTED_IN,Portal Click,Passive,,
A26-102997,Applicant,CLB-44,INTERESTED_IN,Application Checkbox,Passive,,
A26-100510,Applicant,CLB-14,INTERESTED_IN,Portal Click,Explicit,,
A26-100510,Applicant,CLB-01,INTERESTED_IN,Application Checkbox,Explicit,,
A26-106539,Applicant,CLB-14,INTERESTED_IN,Info Session Topic,Passive,,
A26-105206,Applicant,CLB-15,INTERESTED_IN,Essay Mention,Passive,,
A26-103377,Applicant,CLB-09,INTERESTED_IN,Application Checkbox,Passive,,
A26-103377,Applicant,CLB-08,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-103195,Applicant,CLB-22,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-103195,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Explicit,,
A26-100204,Applicant,CLB-14,INTERESTED_IN,Essay Mention,Passive,,
A26-100204,Applicant,CLB-23,INTERESTED_IN,Essay Mention,Explicit,,
A26-100204,Applicant,CLB-17,INTERESTED_IN,Info Session Topic,Passive,,
A26-105447,Applicant,CLB-07,INTERESTED_IN,Portal Click,Passive,,
A26-107628,Applicant,CLB-19,INTERESTED_IN,Info Session Topic,Explicit,,
A26-101014,Applicant,CLB-02,INTERESTED_IN,Info Session Topic,Explicit,,
A26-101014,Applicant,CLB-25,INTERESTED_IN,Portal Click,Passive,,
A26-108031,Applicant,CLB-26,INTERESTED_IN,Essay Mention,Sustained,,
A26-108377,Applicant,CLB-15,INTERESTED_IN,Essay Mention,Passive,,
A26-108377,Applicant,CLB-13,INTERESTED_IN,Portal Click,Explicit,,
A26-108377,Applicant,CLB-21,INTERESTED_IN,Info Session Topic,Explicit,,
A26-108377,Applicant,CLB-01,INTERESTED_IN,Portal Click,Passive,,
A26-107283,Applicant,CLB-23,INTERESTED_IN,Application Checkbox,Explicit,,
A26-107283,Applicant,CLB-39,INTERESTED_IN,Counsellor Note,Passive,,
A26-107283,Applicant,CLB-17,INTERESTED_IN,Essay Mention,Passive,,
A26-105970,Applicant,CLB-23,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-105970,Applicant,CLB-26,INTERESTED_IN,Application Checkbox,Passive,,
A26-107558,Applicant,CLB-26,INTERESTED_IN,Application Checkbox,Passive,,
A26-107558,Applicant,CLB-39,INTERESTED_IN,Portal Click,Passive,,
A26-102153,Applicant,CLB-17,INTERESTED_IN,Essay Mention,Explicit,,
A26-102153,Applicant,CLB-14,INTERESTED_IN,Portal Click,Passive,,
A26-107815,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Explicit,,
A26-107815,Applicant,CLB-14,INTERESTED_IN,Application Checkbox,Passive,,
A26-104525,Applicant,CLB-25,INTERESTED_IN,Info Session Topic,Explicit,,
A26-104525,Applicant,CLB-10,INTERESTED_IN,Info Session Topic,Explicit,,
A26-103986,Applicant,CLB-01,INTERESTED_IN,Essay Mention,Explicit,,
A26-103986,Applicant,CLB-11,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-103986,Applicant,CLB-39,INTERESTED_IN,Application Checkbox,Passive,,
A26-103986,Applicant,CLB-31,INTERESTED_IN,Info Session Topic,Sustained,,
A26-103490,Applicant,CLB-11,INTERESTED_IN,Essay Mention,Explicit,,
A26-107889,Applicant,CLB-18,INTERESTED_IN,Application Checkbox,Explicit,,
A26-107889,Applicant,CLB-02,INTERESTED_IN,Portal Click,Passive,,
A26-107889,Applicant,CLB-09,INTERESTED_IN,Counsellor Note,Sustained,,
A26-103644,Applicant,CLB-26,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-103644,Applicant,CLB-05,INTERESTED_IN,Counsellor Note,Passive,,
A26-103644,Applicant,CLB-17,INTERESTED_IN,Portal Click,Passive,,
A26-105051,Applicant,CLB-28,INTERESTED_IN,Info Session Topic,Explicit,,
A26-105051,Applicant,CLB-31,INTERESTED_IN,Portal Click,Sustained,,
A26-104011,Applicant,CLB-37,INTERESTED_IN,Info Session Topic,Explicit,,
A26-104011,Applicant,CLB-21,INTERESTED_IN,Portal Click,Passive,,
A26-104011,Applicant,CLB-40,INTERESTED_IN,Essay Mention,Passive,,
A26-101232,Applicant,CLB-14,INTERESTED_IN,Essay Mention,Explicit,,
A26-105077,Applicant,CLB-14,INTERESTED_IN,Portal Click,Sustained,,
A26-101564,Applicant,CLB-25,INTERESTED_IN,Portal Click,Explicit,,
A26-101564,Applicant,CLB-23,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-101564,Applicant,CLB-17,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-100976,Applicant,CLB-31,INTERESTED_IN,Portal Click,Passive,,
A26-100976,Applicant,CLB-28,INTERESTED_IN,Essay Mention,Explicit,,
A26-100935,Applicant,CLB-17,INTERESTED_IN,Application Checkbox,Passive,,
A26-102514,Applicant,CLB-09,INTERESTED_IN,Portal Click,Explicit,,
A26-102514,Applicant,CLB-10,INTERESTED_IN,Application Checkbox,Explicit,,
A26-102514,Applicant,CLB-21,INTERESTED_IN,Application Checkbox,Explicit,,
A26-102802,Applicant,CLB-10,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-102802,Applicant,CLB-07,INTERESTED_IN,Info Session Topic,Sustained,,
A26-100542,Applicant,CLB-14,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-100542,Applicant,CLB-04,INTERESTED_IN,Counsellor Note,Passive,,
A26-108197,Applicant,CLB-41,INTERESTED_IN,Application Checkbox,Sustained,,
A26-108197,Applicant,CLB-37,INTERESTED_IN,Portal Click,Sustained,,
A26-108197,Applicant,CLB-07,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-103362,Applicant,CLB-04,INTERESTED_IN,Portal Click,Explicit,,
A26-103362,Applicant,CLB-13,INTERESTED_IN,Portal Click,Explicit,,
A26-107794,Applicant,CLB-15,INTERESTED_IN,Portal Click,Explicit,,
A26-101284,Applicant,CLB-05,INTERESTED_IN,Application Checkbox,Explicit,,
A26-107052,Applicant,CLB-08,INTERESTED_IN,Info Session Topic,Explicit,,
A26-107052,Applicant,CLB-07,INTERESTED_IN,Essay Mention,Passive,,
A26-106569,Applicant,CLB-19,INTERESTED_IN,Portal Click,Passive,,
A26-106569,Applicant,CLB-25,INTERESTED_IN,Portal Click,Passive,,
A26-106569,Applicant,CLB-22,INTERESTED_IN,Essay Mention,Passive,,
A26-100998,Applicant,CLB-17,INTERESTED_IN,Info Session Topic,Explicit,,
A26-100998,Applicant,CLB-23,INTERESTED_IN,Application Checkbox,Sustained,,
A26-100998,Applicant,CLB-02,INTERESTED_IN,Application Checkbox,Sustained,,
A26-101147,Applicant,CLB-14,INTERESTED_IN,Info Session Topic,Passive,,
A26-103963,Applicant,CLB-10,INTERESTED_IN,Essay Mention,Explicit,,
A26-103963,Applicant,CLB-02,INTERESTED_IN,Application Checkbox,Sustained,,
A26-103963,Applicant,CLB-14,INTERESTED_IN,Portal Click,Passive,,
A26-105898,Applicant,CLB-11,INTERESTED_IN,Info Session Topic,Explicit,,
A26-105898,Applicant,CLB-25,INTERESTED_IN,Info Session Topic,Passive,,
A26-103545,Applicant,CLB-31,INTERESTED_IN,Essay Mention,Sustained,,
A26-103545,Applicant,CLB-27,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-103545,Applicant,CLB-32,INTERESTED_IN,Essay Mention,Sustained,,
A26-103681,Applicant,CLB-10,INTERESTED_IN,Info Session Topic,Passive,,
A26-103681,Applicant,CLB-09,INTERESTED_IN,Essay Mention,Passive,,
A26-103681,Applicant,CLB-15,INTERESTED_IN,Essay Mention,Sustained,,
A26-103681,Applicant,CLB-05,INTERESTED_IN,Essay Mention,Explicit,,
A26-103612,Applicant,CLB-11,INTERESTED_IN,Essay Mention,Passive,,
A26-103612,Applicant,CLB-01,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-103612,Applicant,CLB-40,INTERESTED_IN,Application Checkbox,Explicit,,
